Exp_name,Window_size,Detection_end,Det_acc,Drift_signaled,Real_drift,Total_Training_time
1_Baseline,500,1084,0.83,False,False,0.019945859909057617
1_Baseline,500,1085,0.828,False,False,0.019945859909057617
1_Baseline,500,1086,0.828,False,False,0.019945859909057617
1_Baseline,500,1087,0.826,False,False,0.019945859909057617
1_Baseline,500,1088,0.824,False,False,0.019945859909057617
1_Baseline,500,1089,0.824,False,False,0.019945859909057617
1_Baseline,500,1090,0.822,False,False,0.019945859909057617
1_Baseline,500,1091,0.822,False,False,0.019945859909057617
1_Baseline,500,1092,0.822,False,False,0.019945859909057617
1_Baseline,500,1093,0.82,False,False,0.019945859909057617
1_Baseline,500,1094,0.82,False,False,0.019945859909057617
1_Baseline,500,1095,0.818,False,False,0.019945859909057617
1_Baseline,500,1096,0.818,False,False,0.019945859909057617
1_Baseline,500,1097,0.818,False,False,0.019945859909057617
1_Baseline,500,1098,0.818,False,False,0.019945859909057617
1_Baseline,500,1099,0.818,False,False,0.019945859909057617
1_Baseline,500,1100,0.816,False,False,0.019945859909057617
1_Baseline,500,1101,0.816,False,False,0.019945859909057617
1_Baseline,500,1102,0.814,False,False,0.019945859909057617
1_Baseline,500,1103,0.814,False,False,0.019945859909057617
1_Baseline,500,1104,0.814,False,False,0.019945859909057617
1_Baseline,500,1105,0.814,False,False,0.019945859909057617
1_Baseline,500,1106,0.814,False,False,0.019945859909057617
1_Baseline,500,1107,0.814,False,False,0.019945859909057617
1_Baseline,500,1108,0.814,False,False,0.019945859909057617
1_Baseline,500,1109,0.814,False,False,0.019945859909057617
1_Baseline,500,1110,0.816,False,False,0.019945859909057617
1_Baseline,500,1111,0.816,False,False,0.019945859909057617
1_Baseline,500,1112,0.816,False,False,0.019945859909057617
1_Baseline,500,1113,0.816,False,False,0.019945859909057617
1_Baseline,500,1114,0.816,False,False,0.019945859909057617
1_Baseline,500,1115,0.818,False,False,0.019945859909057617
1_Baseline,500,1116,0.818,False,False,0.019945859909057617
1_Baseline,500,1117,0.818,False,False,0.019945859909057617
1_Baseline,500,1118,0.818,False,False,0.019945859909057617
1_Baseline,500,1119,0.82,False,False,0.019945859909057617
1_Baseline,500,1120,0.82,False,False,0.019945859909057617
1_Baseline,500,1121,0.82,False,False,0.019945859909057617
1_Baseline,500,1122,0.82,False,False,0.019945859909057617
